I
1130 Generated by WorldEditor 2.3.0r2

1    561 0 0 EBCI Brussels South Charleroi
1302 city Brussels
1302 country Belgium
1302 datum_lat 50.46
1302 datum_lon 4.452777778
1302 faa_code 
1302 gui_label 3D
1302 iata_code CRL
1302 icao_code EBCI
1302 region_code EB
1302 state Hainaut
1302 transition_alt 4500
1302 transition_level 
100 45.11 1 0 0.00 1 2 0 06  50.45517778  004.43672497  447    0 5 7 0 0 24  50.46467083  004.46946643    0    0 5 1 1 1
110 2 0.00 65.5500 South Concrete Apron Taxiway
111  50.46056021  004.46107066
112  50.46056021  004.46107066  50.46028085  004.46006609
112  50.46010481  004.45842395  50.45984126  004.45752150
111  50.46010481  004.45842395
111  50.46033858  004.45824750
111  50.45961530  004.45574666
112  50.45961530  004.45574666  50.45957273  004.45560477
112  50.45973873  004.45520226  50.45984464  004.45511419
111  50.45973873  004.45520226
111  50.46005420  004.45496419
112  50.46005420  004.45496419  50.46013986  004.45490982
111  50.46029231  004.45511358
111  50.46030030  004.45502871
111  50.46009282  004.45432008
111  50.46004683  004.45427873
112  50.45997797  004.45465653  50.45988106  004.45473128
111  50.45997797  004.45465653
111  50.45965004  004.45489354
112  50.45965004  004.45489354  50.45954413  004.45496530
112  50.45929153  004.45462718  50.45925103  004.45448855
111  50.45929153  004.45462718
111  50.45713146  004.44715847
112  50.45713146  004.44715847  50.45710530  004.44702539
112  50.45721832  004.44659175  50.45735040  004.44640779
112  50.45755558  004.44635985  50.45763790  004.44632210
112  50.45780554  004.44654811  50.45783258  004.44663022
111  50.45780554  004.44654811
111  50.45782180  004.44646438
111  50.45761006  004.44574848
111  50.45756891  004.44572531
112  50.45756891  004.44572531  50.45759595  004.44586688
111  50.45747059  004.44600179
111  50.45712046  004.44625338
112  50.45712046  004.44625338  50.45704042  004.44630434
112  50.45685346  004.44619724  50.45681525  004.44607606
111  50.45685346  004.44619724
111  50.45479675  004.43908591
111  50.45464173  004.43815936
112  50.45464173  004.43815936  50.45462450  004.43807478
